id	output
{"address":"0x90fEB14310F6fcdfF21d5eDDf3779fB83295D198","chainId":56}	{"name": "Magic Vip Club Space", "symbol": "MVPS", "decimals": 18}
{"address":"0x47d4053AcE818CeB33b67CAaB7C44043AdE3FA97","chainId":56}	{"name": "Tether USD", "symbol": "USDT", "decimals": 6}
{"address":"0x8558bEc21da7Ab0064A0aE4124FFdc5137bC5159","chainId":56}	{"name": "DEGEN", "symbol": "DEGEN", "decimals": 18}
{"address":"0xCa52ee53dD8E3E19fa7Bd296e2892a9cF7B7FDF8","chainId":56}	{"name": "PEPE ETH", "symbol": "PepeETH", "decimals": 18}
{"address":"0xaE4c517777FE970c6dC3b6097D6C8447Bd611933","chainId":56}	{"name": "PEPE", "symbol": "PEPE", "decimals": 18}
{"address":"0x2CA97f1919CC33c86C6649AD070C616c70A5f303","chainId":56}	{"name": "CEOToken", "symbol": "ceo", "decimals": 18}
{"address":"0xe9A4573E59cC05dFd43969542DA148bcBa21c1aA","chainId":56}	{"name": "DamnPepe", "symbol": "DPEPE", "decimals": 18}
{"address":"0xcf0C122c6b73ff809C693DB761e7BaeBe62b6a2E","chainId":1}	{"name": "FLOKI", "symbol": "FLOKI", "decimals": 9}
{"address":"0xFfBa7529AC181c2Ee1844548e6D7061c9A597dF4","chainId":56}	{"name": "Capsule Coin", "symbol": "CAPS", "decimals": 18}
{"address":"0x7B4cfC3276CC560C98e0aEEe7E952efdda53000c","chainId":56}	{"name": "Dogelon Inu CEO", "symbol": "DGCEO", "decimals": 18}
{"address":"0xC0FFEEF917df2Ba6f2C74ABe90a2d6F7F5281618","chainId":56}	{"name": "C0FFEE", "symbol": "C0FFEE", "decimals": 18}
{"address":"0xb07e288d0cc233E869e9836aC963cbd68ea20a80","chainId":56}	{"name": "win&winfinance", "symbol": "w", "decimals": 18}
{"address":"0x7aF22279869313b2808528f689218D8b271A78AD","chainId":56}	{"name": "AiMEME", "symbol": "MEME", "decimals": 18}
{"address":"0x4E0d01B1a620cB04B8EC5Fb4adEcDB571579e80B","chainId":56}	{"name": "UKRAINE", "symbol": "UA", "decimals": 18}
{"address":"0xa10E2599850D718AeFD68cb6357E2aE94B14bce1","chainId":56}	{"name": "Alhgpt", "symbol": "ALHG", "decimals": 18}
